time,cmd_raw,pos_ref,vel_ref,acc_ref,acc_unsat,acc_sat_flag,axis_raw,axis_mf_noff,axis_mf_vff,speed_cmd_raw,speed_cmd_mf_noff,speed_cmd_mf_vff
0.0378,6.28318530717959,1.28873155240757,142.907350484818,7030.26530322376,7030.26530322371,0,3.24939630537967,0.518268055703614,0.938266830913235,300,171.464930939826,223.011022656725
0.0379,6.28318530717959,1.30309071755718,143.591651496094,6843.01011276176,6843.01011276175,0,3.27627885156243,0.527604597374308,0.952163671166978,300,172.591517619497,223.820614445523
0.038,6.28318530717959,1.31751646460325,144.257470460724,6658.18964630347,6658.18964630344,0,3.3032003659179,0.537041570639536,0.96616755435016,300,173.71069233489,224.602746088678
0.0381,6.28318530717959,1.33200696942629,144.905048230316,6475.77769592004,6475.77769591997,0,3.33016036134392,0.54657910926641,0.980278085665484,300,174.822021968057,225.357337546088
0.0382,6.28318530717959,1.34656043173244,145.534623061513,6295.7483119672,6295.74831196718,0,3.35715835682712,0.556217335011943,0.994494840736855,300,175.925081196782,226.084317989563
0.0383,6.28318530717959,1.36117507479659,146.14643064158,6118.07580066596,6118.07580066603,0,3.38419387736678,0.565956357251311,1.00881736590197,300,177.019452523039,226.783625709286
0.0384,6.28318530717959,1.37584914520797,146.74070411375,5942.73472170499,5942.73472170487,0,3.4112664538997,0.57579627262056,1.02324517851254,300,178.1047262988,227.455208018871
0.0385,6.28318530717959,1.3905809126182,147.317674102336,5769.69988586342,5769.69988586349,0,3.43837562322595,0.58573716467363,1.03777776724193,300,179.180500749208,228.099021159051
0.0386,6.28318530717959,1.40536866949196,147.877568737602,5598.94635265863,5598.94635265874,0,3.46552092793563,0.595779103553529,1.05241459239996,300,180.246381993162,228.715030200062
0.0387,6.28318530717959,1.42021073086,148.420613680404,5430.44942801146,5430.44942801148,0,3.49270191633643,0.605922145677505,1.06715508625469,300,181.301984061317,229.303208942738
0.0388,6.28318530717959,1.43510543407466,148.947032146597,5264.18466193491,5264.18466193481,0,3.51991814238223,0.616166333436071,1.081998653361,300,182.346928911556,229.863539818391
0.0389,6.28318530717959,1.45005113856779,149.457044931221,5100.12784624308,5100.12784624306,0,3.54716916560245,0.626511694905707,1.09694467089572,300,183.380846441937,230.396013787498
0.039,6.28318530717959,1.46504622561103,149.950870432449,4938.25501228173,4938.25501228186,0,3.57445455103242,0.636958243575099,1.11199248899906,300,184.403374501165,230.900630237251
0.0391,6.28318530717959,1.48008909807856,150.428724675317,4778.54242867863,4778.54242867861,0,3.60177386914451,0.647505978084745,1.12714143112219,300,185.414158896607,231.377396878002
0.0392,6.28318530717959,1.49517818021209,150.890821335229,4620.96659911339,4620.96659911345,0,3.62912669578021,0.65815488197977,1.14239079438084,300,186.412853399887,231.82632963866
0.0393,6.28318530717959,1.51031191738821,151.33737176124,4465.50426011044,4465.50426011057,0,3.65651261208296,0.668904923475795,1.15773984991446,300,187.399119750081,232.247452561071
0.0394,6.28318530717959,1.52548877588812,151.768584999125,4312.13237884947,4312.13237884939,0,3.68393120443192,0.679756055237687,1.17318784325102,300,188.372627654555,232.640797693432
