index_1based,controller_index_1based,theta_deg,theta_rad,iq_forward_A,iq_backward_A,iq_cog_A,iq_direction_A,iq_ff_raw_A,iq_ff_A,ff_table_value_A,is_active_point
126,126,250,4.36332312998582,-0.280524958964536,NaN,-0.280524958964536,0,-0.267778209440577,-0.267446746635931,-0.267446746635931,1
127,127,252,4.39822971502571,-0.283838262658092,NaN,-0.283838262658092,0,-0.271091513134133,-0.270765068579046,-0.270765068579046,1
128,128,254,4.4331363000656,-0.286830485641732,NaN,-0.286830485641732,0,-0.274083736117773,-0.273753679989217,-0.273753679989217,1
129,129,256,4.46804288510548,-0.289488920329731,NaN,-0.289488920329731,0,-0.276742170805772,-0.276408909868917,-0.276408909868917,1
130,130,258,4.50294947014537,-0.291819519971791,NaN,-0.291819519971791,0,-0.279072770447831,-0.278727492242841,-0.278727492242841,1
131,131,260,4.53785605518526,-0.293801108363034,NaN,-0.293801108363034,0,-0.281054358839074,-0.280706635419616,-0.280706635419616,1
132,132,262,4.57276264022514,-0.295431174527713,NaN,-0.295431174527713,0,-0.282684425003753,-0.282343929118988,-0.282343929118988,1
133,133,264,4.60766922526503,-0.29672620152561,NaN,-0.29672620152561,0,-0.28397945200165,-0.283637412341256,-0.283637412341256,1
134,134,266,4.64257581030492,-0.297675388826591,NaN,-0.297675388826591,0,-0.284928639302632,-0.28458547709059,-0.28458547709059,1
135,135,268,4.6774823953448,-0.29828693608313,NaN,-0.29828693608313,0,-0.285540186559171,-0.285186935625391,-0.285186935625391,1
136,136,270,4.71238898038469,-0.298541432109704,NaN,-0.298541432109704,0,-0.285794682585745,-0.285441088596458,-0.285441088596458,1
137,137,272,4.74729556542458,-0.298438467201716,NaN,-0.298438467201716,0,-0.285691717677756,-0.285347626536405,-0.285347626536405,1
138,138,274,4.78220215046446,-0.297996966380943,NaN,-0.297996966380943,0,-0.285250216856984,-0.284906696566928,-0.284906696566928,1
139,139,276,4.81710873550435,-0.29720807852633,NaN,-0.29720807852633,0,-0.28446132900237,-0.284118802465718,-0.284118802465718,1
140,140,278,4.85201532054424,-0.296082286235746,NaN,-0.296082286235746,0,-0.283335536711787,-0.282984870749181,-0.282984870749181,1
141,141,280,4.88692190558412,-0.294601961603654,NaN,-0.294601961603654,0,-0.281855212079695,-0.281506315621099,-0.281506315621099,1
142,142,282,4.92182849062401,-0.292768808619027,NaN,-0.292768808619027,0,-0.280022059095067,-0.279684937808169,-0.279684937808169,1
143,143,284,4.9567350756639,-0.290604190740537,NaN,-0.290604190740537,0,-0.277857441216578,-0.277522988081861,-0.277522988081861,1
144,144,286,4.99164166070378,-0.288101189461677,NaN,-0.288101189461677,0,-0.275354439937718,-0.275023066705557,-0.275023066705557,1
145,145,288,5.02654824574367,-0.285272537604207,NaN,-0.285272537604207,0,-0.272525788080247,-0.272188186343994,-0.272188186343994,1
146,146,290,5.06145483078356,-0.282102354722134,NaN,-0.282102354722134,0,-0.269355605198175,-0.269021831842832,-0.269021831842832,1
147,147,292,5.09636141582344,-0.278594406811212,NaN,-0.278594406811212,0,-0.265847657287253,-0.265527859488723,-0.265527859488723,1
148,148,294,5.13126800086333,-0.274772418234725,NaN,-0.274772418234725,0,-0.262025668710766,-0.261710555409469,-0.261710555409469,1
149,149,296,5.16617458590322,-0.270631327691135,NaN,-0.270631327691135,0,-0.257884578167176,-0.257574537468471,-0.257574537468471,1
150,150,298,5.2010811709431,-0.266186017207932,NaN,-0.266186017207932,0,-0.253439267683973,-0.25312481308407,-0.25312481308407,1
151,151,300,5.23598775598299,-0.261422265017145,NaN,-0.261422265017145,0,-0.248675515493185,-0.248366832007766,-0.248366832007766,1
152,152,302,5.27089434102288,-0.256345784889208,NaN,-0.256345784889208,0,-0.243599035365249,-0.243306389086513,-0.243306389086513,1
153,153,304,5.30580092606276,-0.250982512853208,NaN,-0.250982512853208,0,-0.238235763329249,-0.237949675751941,-0.237949675751941,1
154,154,306,5.34070751110265,-0.24532911308487,NaN,-0.24532911308487,0,-0.232582363560911,-0.232303187367497,-0.232303187367497,1
155,155,308,5.37561409614254,-0.239402450535071,NaN,-0.239402450535071,0,-0.226655701011112,-0.226373774184206,-0.226373774184206,1
156,156,310,5.41052068118242,-0.233189823094924,NaN,-0.233189823094924,0,-0.220443073570965,-0.220168685493411,-0.220168685493411,1
157,157,312,5.44542726622231,-0.226698718972751,NaN,-0.226698718972751,0,-0.213951969448792,-0.21369547887189,-0.21369547887189,1
158,158,314,5.48033385126219,-0.219957069399232,NaN,-0.219957069399232,0,-0.207210319875273,-0.206960042635712,-0.206960042635712,1
159,159,316,5.51524043630208,-0.212963079977266,NaN,-0.212963079977266,0,-0.200216330453306,-0.199972568663409,-0.199972568663409,1
160,160,318,5.55014702134197,-0.205725269354183,NaN,-0.205725269354183,0,-0.192978519830224,-0.192752654594362,-0.192752654594362,1
161,161,320,5.58505360638185,-0.198252453233407,NaN,-0.198252453233407,0,-0.185505703709448,-0.185299606531581,-0.185299606531581,1
162,162,322,5.61996019142174,-0.19059914862752,NaN,-0.19059914862752,0,-0.177852399103561,-0.177611949972403,-0.177611949972403,1
163,163,324,5.65486677646163,-0.182691829085325,NaN,-0.182691829085325,0,-0.169945079561365,-0.169715769762651,-0.169715769762651,1
164,164,326,5.68977336150151,-0.174524797181375,NaN,-0.174524797181375,0,-0.161778047657416,-0.161605035853579,-0.161605035853579,1
165,165,328,5.7246799465414,-0.166244368305427,NaN,-0.166244368305427,0,-0.153497618781468,-0.153296398670468,-0.153296398670468,1
166,166,330,5.75958653158129,-0.157698783688043,NaN,-0.157698783688043,0,-0.144952034164083,-0.144800961200305,-0.144800961200305,1
167,167,332,5.79449311662117,-0.149055962711965,NaN,-0.149055962711965,0,-0.136309213188006,-0.136129086208093,-0.136129086208093,1
168,168,334,5.82939970166106,-0.140214641734514,NaN,-0.140214641734514,0,-0.127467892210554,-0.127291558588797,-0.127291558588797,1
169,169,336,5.86430628670095,-0.131165422220312,NaN,-0.131165422220312,0,-0.118418672696352,-0.118298998776678,-0.118298998776678,1
